pid,QID287_1,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID287_10,QID287_11,QID287_12,QID154,QID158,QID160_1,QID160_2,QID160_3,QID161,QID165,QID166_TEXT,QID169,QID170_TEXT,QID171,QID174,QID177,QID181_TEXT,QID184,QID191,QID192,QID195,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID291,QID196,QID290_1,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID290_10,QID290_11,QID290_12,QID9_1,QID9_2,QID9_3,QID9_4,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_40,QID162,QID163,QID164_TEXT,QID167,QID168_TEXT,QID182_TEXT,QID190,QID194,QID198_1,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID198_10,QID156,QID157,QID172,QID175,QID178,QID183,QID193,QID159_1,QID159_2,QID159_3,QID173,QID176,QID179,QID189
862,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly support,30,,Moderately probable,Moderately probable,Moderately probable,"Correct, all things considered",,,,,,,,,,,,probably yes,,,,,,,very beneficial,low benefit,neutral,low benefit,slightly risky,moderately risky,moderately risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,40,30,45,40,60,30,65,45,40,52,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,fewer,9,more,86,5,,,1,1,2,1,2,2,1,1,2,1,,I slightly favor program A,Agree a little,Neither agree nor disagree,very likely,Yes,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,"$1,000"
863,Strongly support,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly oppose,Somewhat oppose,80,,,,,,fewer,37,,,,,,14,No,,One million dollars for sure,,red,red,green,red,red,green,very beneficial,low benefit,neutral,low benefit,low risk,very risky,moderately risky,very risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,61,54,69,65,69,52,65,70,41,38,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Correct, all things considered",,,more,220,,,yes,,,,,,,,,,,,I slightly favor program A,,,,,,Moderately probable,Very probable,Very improbable,Disagree a little,Agree strongly,very likely,"$1,000"
864,Strongly support,Somewhat support,Somewhat support,Strongly support,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,Somewhat support,,,,,,"Incorrect, a very bad decision",fewer,54,,,,,,20,,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,definitely yes,,,,,,,extremely beneficial,moderately beneficial,moderately beneficial,extremely beneficial,not at all risky,moderately risky,very risky,very risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,72,82,64,74,56,51,69,62,59,67,"Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,,,more,116,,,,1,1,1,1,1,2,2,2,2,2,76,I favor program A,,,,Yes,,Moderately probable,Moderately probable,Moderately probable,Disagree strongly,Agree a little,likely,"$1,000"
865,Neither oppose nor support,Somewhat oppose,Neither oppose nor support,Somewhat oppose,Neither oppose nor support,Neither oppose nor support,Somewhat oppose,Neither oppose nor support,Somewhat support,Neither oppose nor support,82,,Moderately probable,Moderately probable,Somewhat probable,"Clearly correct, an excellent decision",,,less,800,Disagree strongly,Agree a little,somewhat likely,,No,,,,red,red,red,red,green,green,very beneficial,low benefit,slightly beneficial,slightly beneficial,slightly risky,moderately risky,moderately risky,moderately risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,60,27,71,59,45,39,65,73,63,52,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product",,fewer,6,,,20,,probably no,,,,,,,,,,,,I slightly favor program A,,,,,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,$100
866,Somewhat support,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Somewhat oppose,Strongly support,72,,Moderately probable,Somewhat probable,Moderately probable,"Correct, all things considered",,,more,2000,,,,,,$100,One million dollars for sure,no,,,,,,,very beneficial,low benefit,not at all beneficial,low benefit,low risk,slightly risky,very risky,very risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,77,30,33,91,88,55,78,81,42,63,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,more,16,,,15,,,2,2,1,1,1,1,2,2,1,2,,I favor program A,,,,Yes,,,,,Agree a little,Agree a little,somewhat likely,
867,Somewhat support,Somewhat oppose,Neither oppose nor support,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,Somewhat support,Neither oppose nor support,70,I slightly favor program B,Moderately probable,Moderately probable,Very improbable,"Correct, but the opposite would be reasonable too",fewer,30,more,2000,,,,18,No,,One million dollars for sure,,red,red,green,red,red,green,extremely beneficial,low benefit,neutral,moderately beneficial,low risk,moderately risky,very risky,very risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,40,20,50,75,70,35,80,75,60,50,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,,,,,,"$5,000,000 or more",no,,,,,,,,,,,,,,,,,,,,,Disagree a little,Agree a little,very likely,
868,Somewhat support,Strongly oppose,Strongly support,Strongly support,Strongly support,Neither oppose nor support,Strongly support,Strongly oppose,Strongly support,Somewhat support,70,,,,,"Clearly correct, an excellent decision",fewer,54,less,377,Disagree strongly,Agree strongly,very likely,20,,,One million dollars for sure,definitely yes,red,red,red,red,green,green,extremely beneficial,not at all beneficial,extremely beneficial,extremely beneficial,not at all risky,extremely risky,neutral,neutral,I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.,the large tray,70,31,100,100,75,64,60,34,70,84,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,,,,,,,,,,,,,,,,,,,I strongly favor program B,,,,Yes,,Extremely improbable,Extremely improbable,Extremely improbable,,,,"$5,000,000 or more"
869,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,30,,Very improbable,Moderately probable,Very improbable,"Correct, but the opposite would be reasonable too",fewer,45,,,,,,,,,One million dollars for sure,yes,red,red,red,red,red,green,very beneficial,low benefit,slightly beneficial,low benefit,slightly risky,moderately risky,very risky,extremely risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,70,60,74,61,58,71,58,69,73,81,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product",,,,more,200,12,"$1,000,000",,,,,,,,,,,,,I favor program A,Disagree a little,Agree a little,likely,Yes,,,,,,,,
870,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,82,I slightly favor program A,,,,,fewer,8,less,430,,,,18,No,,One million dollars for sure,definitely yes,,,,,,,moderately beneficial,not at all beneficial,slightly beneficial,slightly beneficial,very risky,extremely risky,moderately risky,moderately risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,70,75,65,60,70,65,80,95,90,80,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Correct, all things considered",,,,,,"$5,000,000 or more",,1,1,2,1,1,2,1,1,2,1,,,,,,,,Very probable,Somewhat probable,Very improbable,Agree strongly,Agree strongly,somewhat likely,
871,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,,I slightly favor program B,,,,,more,54,more,370,Agree a little,Agree a little,somewhat likely,10,,,,,red,red,red,green,green,green,moderately beneficial,very beneficial,moderately beneficial,moderately beneficial,moderately risky,very risky,moderately risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,66,81,66,78,58,70,53,72,61,73,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",The decision and its opposite are equally good,,,,,,$100,probably yes,,,,,,,,,,,71,,,,,Yes,11% probability of one million dollars 89% probability of nothing,Moderately probable,Very probable,Moderately probable,,,,
872,Somewhat support,Somewhat support,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,Somewhat oppose,71,I favor program B,,,,,fewer,50,,,,,,,,$100,,yes,,,,,,,very beneficial,low benefit,moderately beneficial,moderately beneficial,low risk,slightly risky,slightly risky,low risk,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,39,31,40,44,56,31,67,71,76,35,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Correct, all things considered",,,less,79,10,,,1,1,1,2,1,2,1,1,1,2,,,Agree a little,Agree strongly,likely,Yes,10% probablity of five miillion dollars 90% probability of nothing,Moderately probable,Somewhat probable,Very improbable,,,,
873,Neither oppose nor support,Neither oppose nor support,Somewhat support,Neither oppose nor support,Neither oppose nor support,Neither oppose nor support,Neither oppose nor support,Neither oppose nor support,Somewhat support,Neither oppose nor support,,I slightly favor program B,,,,"Correct, all things considered",fewer,50,,,Disagree a little,Agree a little,somewhat likely,,,,,,,,,,,,very beneficial,low benefit,slightly beneficial,moderately beneficial,slightly risky,very risky,moderately risky,moderately risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,15,8,27,33,13,41,30,44,69,41,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product",,,,less,65,20,"$50,000",yes,1,1,1,2,1,2,1,1,2,1,95,,,,,No,11% probability of one million dollars 89% probability of nothing,Somewhat probable,Somewhat probable,Somewhat probable,,,,
874,Strongly support,Strongly support,Neither oppose nor support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly support,,I strongly favor program A,Somewhat probable,Extremely improbable,Extremely improbable,,more,70,more,1500,,,,,,,One million dollars for sure,definitely yes,red,red,green,red,red,green,extremely beneficial,not at all beneficial,not at all beneficial,extremely beneficial,not at all risky,extremely risky,extremely risky,extremely risky,I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.,the large tray,100,100,100,75,69,17,100,100,26,100,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Incorrect, all things considered",,,,,10,,,,,,,,,,,,,100,,,,,Yes,,,,,Disagree strongly,Agree strongly,very likely,"$1,000"
875,Neither oppose nor support,Neither oppose nor support,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Neither oppose nor support,Somewhat support,91,I slightly favor program B,Somewhat probable,Somewhat probable,Somewhat probable,,fewer,50,,,,,,5,Yes,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,probably yes,red,green,red,red,green,red,extremely beneficial,neutral,moderately beneficial,moderately beneficial,slightly risky,extremely risky,moderately risky,moderately risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,41,41,42,43,43,44,78,50,28,38,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Correct, all things considered",,,more,385,,,,,,,,,,,,,,,,Disagree strongly,Agree strongly,very likely,,,,,,,,,"$10,000"
876,Somewhat support,Somewhat support,Strongly support,Neither oppose nor support,Somewhat support,Somewhat support,Somewhat support,Strongly support,Strongly support,Neither oppose nor support,60,,Very improbable,Extremely improbable,Very probable,"Correct, all things considered",,,less,200,,,,16,,,One million dollars for sure,,,,,,,,slightly beneficial,not at all beneficial,moderately beneficial,neutral,low risk,moderately risky,extremely risky,very risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,75,60,77,40,80,65,90,100,80,65,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",,more,26,,,,,probably yes,1,1,2,1,1,1,2,2,1,1,,I favor program A,,,,Yes,,,,,Disagree strongly,Agree strongly,likely,"$10,000"
877,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly oppose,,,,,,,,,more,1100,,,,,,"$1,000",,,red,red,red,red,red,red,extremely beneficial,low benefit,low benefit,slightly beneficial,low risk,very risky,extremely risky,extremely risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,70,50,60,60,82,70,86,96,65,40,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Correct, but the opposite would be reasonable too",fewer,6,,,12,,definitely yes,,,,,,,,,,,89,I favor program A,,,,Yes,11% probability of one million dollars 89% probability of nothing,Somewhat probable,Somewhat probable,Very improbable,Disagree strongly,Agree strongly,likely,
